Index,C instance,Loop Invariant,Ranking Function,Inference Time
1,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/1.c,undefined,,
2,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/2.c,( ( y >= ( 0 - y ) ) && ( y < ( x + x ) || y == ( y - 1000 ) ) && ( y <= x ) ),,
3,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/3.c,( ( z >= ( y - 0 ) || x < ( 5 - x ) ) ),,
4,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/4.c,( ( x < ( 0 + 1 ) || y <= ( z + 0 ) ) && ( x == x ) ),,
5,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/5.c,( ( x == ( 1 - 1 ) || y < ( z + 1 ) ) ),,
6,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/6.c,( ( y <= ( 0 + z ) || x == ( y - y ) ) ),,
7,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/7.c,( ( x < ( y - 10 ) || x < ( y + 20 ) ) ),,
8,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/8.c,( ( x <= ( 10 + y ) ) ),,
9,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/9.c,( ( x < ( 4 + y ) ) ),,
10,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/10.c,( ( y > ( x - 4 ) || x <= y ) ),,
11,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/11.c,( ( y > y || x < ( y + 20 ) ) ),,
12,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/12.c,( ( x <= ( 10 + y ) ) ),,
13,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/13.c,( ( x <= ( 2 + y ) ) ),,
14,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/14.c,( ( x < x || x == x ) && ( x <= y || y > ( x - 4 ) ) ),,
15,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/15.c,( ( x >= m || m > n ) && ( m < ( n + 0 ) || m < ( 1 - n ) ) ),,
16,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/16.c,( ( m >= 1 || x == ( m + x ) ) && ( x == m || x >= 1 ) ),,
17,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/17.c,( ( m < n || m <= 1 ) ),,
18,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/18.c,( ( x > ( 1 - 1 ) ) && ( m >= 1 || m == 1 ) ),,
19,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/19.c,( ( n >= ( m + 1 ) || n <= 0 ) ),,
20,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/20.c,( ( m >= ( 1 - 1 ) ) && ( m < ( 1 + x ) || m >= m ) && ( x >= 0 ) ),,
21,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/21.c,( ( x > ( n - m ) || n > 1 ) && ( m == 1 || m <= ( n - 1 ) ) ),,
22,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/22.c,(  ( m > ( n - n ) ) && ( x > ( n - n ) ) && ( x < ( m + 1 ) || m <= ( m + 1 ) ) ),,
23,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/23.c,undefined,,
24,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/24.c,,,
25,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/25.c,,,
26,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/26.c,undefined,,
27,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/27.c,,,
28,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/28.c,( ( x >= 0 || n > ( n + n ) ) && ( x < 0 || n >= x ) ),,
29,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/29.c,( ( x >= 0 || n > ( n + n ) ) && ( x < 0 || n >= x ) ),,
30,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/30.c,( ( x < ( 1 + x ) ) && ( x <= ( x + x ) ) ),,
31,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/31.c,undefined,,
32,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/32.c,,,
33,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/33.c,,,
34,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/34.c,,,
35,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/35.c,,,
